"file_name"	"h"	"Ne"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_1/SA501_dropped_one_sc_dlp_4_clones_Ne_50.tsv.gz"	"1.18"	"50"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_1/SA501_dropped_one_sc_dlp_4_clones_Ne_100.tsv.gz"	"0.59"	"100"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_1/SA501_dropped_one_sc_dlp_4_clones_Ne_250.tsv.gz"	"0.2"	"250"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_1/SA501_dropped_one_sc_dlp_4_clones_Ne_500.tsv.gz"	"0.1"	"500"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_1/SA501_dropped_one_sc_dlp_4_clones_Ne_1000.tsv.gz"	"0.0589999999999999"	"1000"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_1/SA501_dropped_one_sc_dlp_4_clones_Ne_1500.tsv.gz"	"0.039"	"1500"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_1/SA501_dropped_one_sc_dlp_4_clones_Ne_2000.tsv.gz"	"0.029"	"2000"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_1/SA501_dropped_one_sc_dlp_4_clones_Ne_2500.tsv.gz"	"0.02"	"2500"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_1/SA501_dropped_one_sc_dlp_4_clones_Ne_3000.tsv.gz"	"0.0196666666666666"	"3000"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_1/SA501_dropped_one_sc_dlp_4_clones_Ne_3500.tsv.gz"	"0.016857"	"3500"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_1/SA501_dropped_one_sc_dlp_4_clones_Ne_4000.tsv.gz"	"0.01"	"4000"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_1/SA501_dropped_one_sc_dlp_4_clones_Ne_5000.tsv.gz"	"0.01"	"5000"
"~/projects/fitclone/figures/raw/supp//SA501/corrupt/autocut_5_clones/3/SA501apr11__8_94__2019041115-10-22/steps_1/SA501_dropped_one_sc_dlp_4_clones_Ne_10000.tsv.gz"	"0.00589999999999999"	"10000"
