"time"	"K"	"X"
0	0	0.135012571839081
0.3	0	0.145070043103448
0.6	0	0.424883261494253
0.9	0	0.0745330459770116
1.1	0	0.00677981321839069
1.2	0	0.00884518678160903
0	1	0.00408584770114916
0.3	1	0.158899066091954
0.6	1	0.0418013649425288
0.9	1	0.142241379310345
1.1	1	0.0624551005747125
1.2	1	0.0113595545977013
0	2	0.000134698275862023
0.3	2	0.146686422413793
0.6	2	0.255163433908046
0.9	2	0.350933908045977
1.1	2	0.0245599856321843
1.2	2	0.0149515086206898
0	3	0.0224946120689655
0.3	3	0.0411727729885059
0.6	3	0.00381645114942524
0.9	3	0.116199712643678
1.1	3	0.869118175287356
1.2	3	0.942483836206896
